	mgm4509396.3	mgm4509398.3	mgm4509400.3
Hydrophobic secreted aerial hyphae protein, ChpC	6075	18102	78203
2-ketogluconate transporter	70	0	0
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	3255	9311	38974
Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	4003	12843	48264
Serine hydroxymethyltransferase (EC 2.1.2.1)	3010	8588	36126
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	2164	6528	25298
ABC-type vanadate transport system, permease protein	2	0	0
Acetoacetate decarboxylase (EC 4.1.1.4)	0	347	1683
Acetyl-CoA:acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)	132	391	1609
Acetone carboxylase, alpha subunit (EC 6.4.1.6)	34	0	556
Acetophenone carboxylase subunit Apc5	1065	0	0
Acetyl-CoA:acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)	132	391	1609
Butyrate-acetoacetate CoA-transferase subunit B (EC 2.8.3.9)	65	0	727
Enoyl-CoA hydratase (EC 4.2.1.17)	328	904	3785
Ferredoxin-like protein	0	1241	0
Arginine decarboxylase, catabolic (EC 4.1.1.19)	163	0	0
Arginine decarboxylase (EC 4.1.1.19)	993	0	0
Geranyl-CoA carboxylase carboxyl transferase subunit	0	2	0
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase related protein BT9727_1702	1584	4571	20362
Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	879	0	0
Iron-sulfur cluster assembly scaffold protein IscU	0	801	0
Alginate biosynthesis protein Alg8	7	0	0
Alginate biosynthesis protein AlgX	0	2	0
probable dibenzothiophene desulfurization enzyme	2843	9413	36115
Sulfate ester binding protein	615	1766	6792
PhnJ protein	53	198	679
Allantoate amidohydrolase (EC 3.5.3.9)	3672	9869	44406
Lactam utilization protein LamB	860	2339	10439
Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	7197	22151	90626
Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)	304	859	3363
6-hydroxycylohex-1-ene-1-carbonyl-CoA dehydrogenase	943	3005	11457
Glutaryl-CoA dehydrogenase (EC 1.3.99.7)	2035	6335	0
D-Ornithine 4,5-aminomutase E subunit (EC 5.4.3.5)	12	0	0
Adenylylsulfate reductase alpha-subunit (EC 1.8.99.2)	126	274	1223
Adenylylsulfate reductase beta-subunit (EC 1.8.99.2)	17	72	245
CoB--CoM-reducing hydrogenase (Cys) delta subunit	0	2	0
2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase beta subunit (EC 1.1.1.35)	2851	8393	33531
O-acetyltransferase, anthrose biosynthesis	1	0	0
Apigenin 4'-O-methyltransferase (EC 2.1.1.75)	77	0	0
